,emotion,selection0,selection1,label
6637,"['sad', 'tired', 'happy']",He always needed to rest because his treatment fatigued him.,Alan decided he must have some really great ideas.,0
6638,"['surprise', 'fear', 'startled']",Mary was walking in the park when she heard a noise.,My son enjoyed his new stories being read to him.,0
6639,"['tired', 'inspired', 'eager', 'hopeful', 'nervous', 'accomplished', 'motivated', 'happy', 'anxious']",Gina and her friend Lisa were looking for a job.,They would need it for their vegetables in winter.,0
6640,"['carefree', 'happy']",They got their bikes together.,He had been partying a lot lately.,1
6641,"['happy', 'good']",She was supposed to get a rather large refund check.,Tom owned a tuna farm.,0
6642,"['victorious', 'reckless', 'panicked', 'anger', 'outrage', 'worrisome', 'terrified', 'angry', 'concerned', 'scared', 'pain']",The driver of the car shoots at Terrence's son.,Tom returned to work on Monday feeling like a new man!,0
6643,"['worried', 'nervous', 'scared']",His doctor had news for him.,Jasmine didn't get a part in the show.,0
6644,"['sad', 'disappointment', 'disappointed']",But she couldn't afford the expensive store prices!,She decided to cook spaghetti.,0
6645,"['connected', 'happy']",Louise immediately grabbed it and ate it.,The Quattlebaum family enjoyed their quality time together.,1
6646,"['embarrassed', 'incompetent', 'sad']",Tim found mushrooms growing in his yard.,Jean had never been very good at math.,1
6647,"['happy', 'excited', 'exhilarated', 'joy']","So on her next test, she failed a question, got a B and was happy.",I caught the wave and felt on top of the world.,1
6648,"['depressed', 'heart-broken']","Scientists took over his backyard, digging for more bone.",Flora was an alcoholic so she lost custody.,1
6649,"['relaxed', 'giddy', 'lazy']",Instead of staying in bed he played games the entire day.,The alarmed rang hard but rick did not wake up.,0
6650,"['frustrated', 'astonished', 'upset']",It sat almost a day in the sun with temperatures near triple digits.,His dad had boxes full of unorganized photographs from his life.,0
6651,"['eager', 'embarrassed', 'diligent']",He grabbed his jeans like any other day.,Tina wanted to be sure she had the perfect wedding dress.,1
6652,"['glad', 'happy', 'excited', 'celebratory', 'content']",Anna was twenty one and wanted to buy her own house.,Tim and his friends had a wonderful time.,1
6653,"['excited', 'overworked']","Jim says yes, he will have to wait another day for his day off.",Jamies job requires her to travel a lot.,1
6654,"['thankful', 'lucky', 'pleasant', 'excited']",The detective determined who the murderer was.,It only cost me a few dollars and the man was very nice.,1
6655,"['hurt', 'mad', 'sad', 'disappointed', 'awkward', 'vindictive']",Kelly immediately was upset.,Lorrie didn't know at the time.,0
6656,"['frustrated', 'disgusted']",Jason loved to barbecue.,The carpet grew mildew.,1
6657,"['fear', 'anxious', 'startled']",I got up from my seat and something dropped.,The person who called was my mom.,0
6658,"['embarrassed', 'nervous']",Unfortunately it didn't help.,From there the Gina completed the enrollment alone.,0
6659,"['pressed', 'obligated', 'happy', 'motivated', 'hopeful', 'helpful', 'desperate', 'needy', 'accomplished', 'thoughtful', 'caring', 'loving']",She first tried to get people to donate money.,"They moved back to New England in 2001, much to our joy.",0
6660,"['anxious', 'frustrated']",Billy tries running after his dog.,"However, his car stopped.",1
6661,"['sad', 'angry', 'sneaky', 'guilty']",We decided to go rock climbing.,Someone had told her her boyfriend was cheating.,1
6662,"['happy', 'determined']",She packed her things into storage and lived in a tent on her land.,Jordan will be moving into her college dorm tomorrow.,0
6663,"['happy', 'scared', 'anxious']",Gordo calls in sick to avoid giving a presentation.,Jules had to get creative but it all turned out great.,0
6664,"['helpless', 'worried', 'frustrated', 'angry']",But his antivirus software was no help.,"After giving some thought, Elaine decided that early morning was best.",0
6665,"['happy', 'parental', 'grateful']",The body builder told him all of his secrets.,She could run around outside in the cold.,1
6666,"['mischievous', 'proud']","Unfortunately it burned, but she had no time to make new toast.",He snuck up behind his wife.,1
6667,"['happy', 'satisfied', 'positive']",Sara was glad she became a firefighter.,His buddies teased him to no end at the dance that night!,0
6668,"['surprise', 'amused', 'surprised']",He went and bought all the necessary supplies.,Moments later she noticed a groundhog peeking out from under the shed.,1
6669,"['apathetic', 'ashamed', 'useless']",Jack was late to work often.,He was sad.,0
6670,"['horrified', 'scared', 'terrified']",He screamed and ran upstairs.,Teddy realized he spent 8 hours watching videos.,0
6671,"['justified', 'fastidious']",Kelly was getting mad at Eliza because she thought she was annoying.,"Since the room was empty, my wife turned off the air conditioner.",1
6672,"['relief', 'appreciated', 'caring', 'confident', 'grateful']",She gave half of her hot dog to Bailey.,"Although she stopped since she felt embarrassed, the audience clapped.",1
6673,"['hesitant', 'apprehensive']",At first I did not want to try this coffee beer.,Tom copied this training method.,0
6674,"['defeated', 'ashamed', 'embarrassed']","Feeling embarrassed, Mike applies for another job.",Her parents wanted to her graduate but feared she wouldn't.,0
6675,"['ashamed', 'disappointed']",But he didn't become as good as he wanted to.,But the boredom was punctuated by small bursts of exciting fear.,0
6676,"['worried', 'productive', 'shocked', 'angry', 'confused']",A man went to the gas station to fill up a gas tank.,One day Gina was at her friend Ruth's house and Joe came over.,0
6677,"['relaxed', 'bored']",She was talking on her phone to entertain herself.,Jill remembered it forever even though it was just a dream.,0
6678,"['frustrated', 'annoyed', 'sad']",Lucy's food melted.,It burned so badly!,0
6679,"['creative', 'comfortable', 'amused', 'hungry', 'happy']",The other side reeled in the other team like a fish.,Every morning he drives to a local bakery.,1
6680,"['sad', 'surprised', 'frustrated']","I was sitting at a party, and my friends and I realized we were hungry.",They let him know they couldn't perform.,1
6681,"['satisfied', 'happy', 'pleased', 'amused']",I won three games and lost one on time.,She landed on her head and began to cry.,0
6682,"['nervous', 'grateful', 'great', 'relieved', 'accomplished', 'vindicated']",Janet was not a cat person until one night.,He had finally caught the perp!,1
6683,"['annoyed', 'relieved', 'pleased', 'clever', 'disappointed']",I wanted to calculate the terminal velocity of the ball.,"Robert worried for nothing, since the grade ended up being curved.",1
6684,"['hungry', 'satisfied', 'content']",Anja wanted to feel useful in her life.,He ate something for lunch.,1
6685,['excited'],They cleaned it up and took it home.,She decided she was going to go to Chipotle.,0
6686,"['amazed', 'interested', 'anxious', 'anticipation', 'professional', 'confident', 'determination']",She made a hole the shape of her fist.,"Mango obliged, and began his routine.",1
6687,"['agitated', 'sad', 'annoyed', 'awkward']",Harper smelled the stranger standing on the lawn.,She ended up whining on the floor.,1
6688,"['OK', 'accomplished', 'vindicated']",The rest of the day Mitch was in a nostalgic mood.,He felt that it was energy-efficient and quick.,1
6689,"['amused', 'happy', 'excited', 'special']",Martha goes to the skating rink every Wednesday.,He had a place to live but needed a roommate.,0
6690,"['worried', 'satisfied', 'sad']","The cranes are out of her hand, and she enjoyed it very much.",Dennis taped a trash bag over his broken window.,1
6691,"['anxious', 'upset', 'depressed']","When Chad arrived at the house, he felt welcomed.",Jill started to stress out over her finances.,1
6692,"['dejected', 'satisfied']",Now he was filthy.,She had sterilized her jars and was almost ready start.,0
6693,"['enlightened', 'pride', 'acknowledged', 'happy']",He enjoyed impressing humans with his speech.,"I spun the reels a few times, then hit the jackpot.",0
6694,"['sadness', 'tired', 'worried', 'helpless', 'sad', 'annoyed']",But her mom told her the cake wasn't the point of her birthday.,His seven year old daughter started crying.,1
6695,"['awe', 'happy', 'confident', 'hopeful', 'proud']",Jay's parents signed him up for martial arts lessons.,Sheila decided that she wanted to be a dentist when she grew up.,1
6696,"['anger', 'gross', 'angry']",It was all rotten.,Tom was excited when that weekend finally came.,0
6697,"['ready', 'productive']","But when they went to the shark exhibit, Kim was scared.",He stocked up on mountain dew and started to work.,1
6698,"['concerned', 'empathetic', 'calm', 'okay', 'embarrassed', 'worried', 'stupid', 'vindictive', 'upset']",After the game the other referee told Ron not to worry about it.,Bill changed the tire and drove home.,0
6699,['sadness'],Timothy didn't have much confidence in himself.,"But after a few moments, she smelled something burning.",0
6700,"['tired', 'exhausted', 'relieved']","Although the driver can't find her hotel at first, finally she does.",Because i'm still reading even he stops pointing what to read.,0
6701,"['happy', 'nervous', 'excited', 'apprehensive', 'curious', 'eager', 'welcoming', 'surprised']","But to his shock, his mom really drank the tea!",The room had several people that greeted us.,1
6702,"['embarrassed', 'pain', 'upset', 'bitter']",He finally did get the nerve and walked up to her.,I needed a cast for my foot.,1
6703,"['excited', 'happy']",Kelsey asked her friend if she had a drink.,"Everyday, she spent hours texting her friends.",1
6704,"['happy', 'relieved', 'worried', 'scared', 'afraid', 'safe', 'frightened']",Her mom rushed right to the office and hugged her tightly!,When she was done she tasted it.,0
6705,"['confuse', 'hungry', 'disappointed', 'annoyed', 'sad']",John had a bad night.,Grandma had forgotten to pick up the noodles for pasta.,1
6706,"['excited', 'happy']","He decided to get back on the curb, and a car whizzed by.",He liked his new school and made twice as many friends.,1
6707,"['loved', 'happy', 'excited', 'joyful', 'wanted']",He falls in love with her and marries her.,They were able to help him find it.,0
6708,"['accomplished', 'confident', 'proud', 'happy']",The couple had ordered an irregularly shaped swimming pool.,Lebron James played basketball in Cleveland one day.,1
6709,"['disappointed', 'bummed']",He had tried learning before but had always failed.,Andrea decided s'mores were a bad idea.,1
6710,"['hopeful', 'smart', 'desperate', 'anxious', 'determined']",Jason and his friend Jeff wanted to have some fun with matches.,He would mow any size lawn for $25.,1
6711,"['annoyed', 'frustration', 'shy', 'angry', 'happy', 'trust', 'disrupted', 'excited', 'upset', 'loving', 'justified', 'relieved', 'uncaring']",Now Rico is graduating from college and he needs to find a job.,Gina would have to help her watch the kids.,1
6712,['excited'],My arms were loaded with groceries.,It was wedding day for Bill.,1
